Temps;Co-Produit;LPlume;LSang;LV_Cuiseur_1;LV_Cuiseur_2;LV_Cuiseur_3
29/10/2022;153.8;19.7;22.7;34.1;40.4;37
30/10/2022;21.3;8;4.3;1.9;2;5.1
31/10/2022;148.8;27.2;22.7;24;38.6;36.4
01/11/2022;173.4;30.9;27.1;35.7;34.5;45.2
02/11/2022;145.9;23;25.9;30.1;32.7;34.4
03/11/2022;181.5;28.3;26.9;41.5;38.1;46.8
04/11/2022;164.1;27;25.2;34.4;34.9;42.5
05/11/2022;141.3;24.7;21.4;30.8;30.8;33.7
06/11/2022;16.3;4.3;5.8;3.6;1.4;1.2
07/11/2022;152.2;26.2;21;29.1;34.8;41.1
08/11/2022;185.1;35.2;28.8;40.6;37.5;42.9
09/11/2022;147.7;23.1;23.3;16.4;37.4;47.5
10/11/2022;177.1;30.6;27.6;41.2;34.3;43.4
11/11/2022;162.1;31.6;26.5;32.2;30.2;41.7
12/11/2022;143;21.9;19.3;31;32.7;37.9
13/11/2022;22.3;6.1;6.4;2.7;3.2;3.9
14/11/2022;53.9;11.7;null;13;null;17.2
16/11/2022;181.7;30.2;26.5;44.5;33.2;47.1
17/11/2022;184.3;33.5;25;37.7;43.5;44.4
18/11/2022;173.7;24.9;28.3;34.8;37.9;47.9
19/11/2022;159.9;32.5;24.1;36.8;29.9;36.6
20/11/2022;13.4;5.2;5.6;0.7;0.2;1.6
21/11/2022;152.2;28.1;22.5;37.3;25.8;38.5
22/11/2022;173.4;27.4;28.3;35.8;40.1;41.9
23/11/2022;191;40.4;25.6;38;36.8;50.2
24/11/2022;156.6;23.1;22.8;32;36.4;42.3
25/11/2022;173;33.4;26.7;28.4;38.1;46.4
26/11/2022;145.5;26.1;22.9;28.7;32.8;35
27/11/2022;23.6;6.7;3.1;4;3.5;6.1
28/11/2022;146.7;26;22.7;25.2;38.3;34.4
29/11/2022;181.8;36.4;24.6;36.5;37.5;46.7
30/11/2022;164.5;27.3;27.9;32.8;34.8;41.7
01/12/2022;168.9;32;25.5;34.6;36.9;39.9
02/12/2022;167.8;31.7;28;33.9;35;39.5
03/12/2022;169.6;30.8;25.9;36.6;34.2;41.9
04/12/2022;16.6;7.4;4.8;0.8;3.4;0.1
05/12/2022;144.1;24.3;17.9;25;40.2;36.8
06/12/2022;168.4;30.8;27.5;34.6;29.3;46.3
07/12/2022;87.5;18.5;12.9;15.9;19.1;21.2
08/12/2022;144.3;27.5;12.9;31;27.8;33.6
09/12/2022;159.4;28.9;25.5;32.9;32.8;39.5
10/12/2022;179.7;32.5;28.8;40.2;37.4;40.7
11/12/2022;10.3;4.7;3.3;1.4;1;null
12/12/2022;151.6;25.5;23.2;27.2;37.2;38.4
13/12/2022;189.6;38.1;28;40.5;35.2;47.8
14/12/2022;162.5;32.8;26.5;30.7;32.7;39.8
15/12/2022;187.9;28.8;28.3;41.8;41.2;47.8
16/12/2022;173.3;34.7;26.7;34.9;37.7;39.2
17/12/2022;119.4;18.6;22.4;26.1;22.7;29.6
18/12/2022;1.1;0.5;0.6;null;null;null
19/12/2022;164.8;28.3;25.7;30.9;39.7;40.3
20/12/2022;181.7;39.8;29.3;34.4;33.4;44.7
21/12/2022;185.8;32.8;28.1;41.4;38;45.4
22/12/2022;158.4;25.6;26.3;36.5;31.9;38.3
23/12/2022;183.1;42.3;28.1;39.1;29.9;43.7
24/12/2022;181.8;32.8;26.3;35.5;42.9;44.3
25/12/2022;36.3;7.9;9.7;6.9;4.5;7.2
26/12/2022;158.8;28;23.7;27.9;35.5;43.6
27/12/2022;183.4;36.6;29.4;34;37.9;45.6
28/12/2022;196.7;36.8;29.1;39.5;45;46.2
29/12/2022;200.8;35.9;30.4;43.9;44.6;46
30/12/2022;191.2;34.4;30.2;42.9;43.1;40.8
31/12/2022;166.4;22.9;30.8;33.8;38.2;40.6
01/01/2023;0.8;0.1;0.6;null;null;null
02/01/2023;146.8;25.8;20.9;27;31.1;42
03/01/2023;172.3;33.5;26.7;31.1;41.1;40
04/01/2023;185.5;31.6;28.3;34.1;42.2;49.4
05/01/2023;179.9;35.1;26.3;35.1;38.5;44.8
06/01/2023;178.8;30.9;28.2;34.2;40.5;45
07/01/2023;173.3;32.2;27.1;36.2;38.7;39
08/01/2023;18.5;9.9;5.6;2.1;null;0.9
09/01/2023;139.8;22.8;22.2;34.9;23.5;36.6
10/01/2023;197.1;38.1;24.5;43;45.5;45.9
11/01/2023;184.9;34.3;29;37.4;36.9;47.3
12/01/2023;174.7;32.1;29.2;33.5;37.7;42
13/01/2023;154.5;27.7;26.9;30.8;24.5;44.4
